Respondent,Gender,Age,Country,EdLevel,DevType,YearsCode,YearsCodePro,Employment,ConvertedComp,JobSat,JobSeek,NEWLearn,OrgSize,WorkWeekHrs,JobFactors,exp_tier,JobSat_score
101,Woman,55.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Database administrator;Designer;Developer, full-stack;System administrator",30,25.0,"Independent contractor, freelancer, or self-employed",,Very satisfied,I am not interested in new job opportunities,Once a year,"Just me - I am a freelancer, sole proprietor, etc.",40.0,"Diversity of the company or organization;Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be",20y+,4.0
102,Man,37.0,United Kingdom,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, mobile",25,12.0,Employed full-time,,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Once every few years,500 to 999 employees,38.0,Diversity of the company or organization;Office environment or company culture;Family friendliness,10-20y,4.0
103,Man,20.0,United States,Some college/university study without earning a degree,Not stated,3,,Student,,Not stated,"I’m not actively looking, but I am open to new opportunities",Once a year,Not stated,,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development",,
104,Man,38.0,Bosnia and Herzegovina,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Data or business analyst;Database administrator;Developer, back-end;Developer, front-end;Developer, full-stack;DevOps specialist;Engineer, data;System administrator",10,8.0,"Independent contractor, freelancer, or self-employed",,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Every few months,20 to 99 employees,,How widely used or impactful my work output would be;Office environment or company culture;Opportunities for professional development,5-10y,3.0
105,Man,28.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",6,0.0,Employed full-time,40000.0,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Every few months,20 to 99 employees,40.0,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development",0-2y,4.0
106,Man,24.0,Germany,"Professional degree (JD, MD, etc.)","Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack",12,3.0,Employed full-time,46044.0,Slightly dissatisfied,I am actively looking for a job,Once a year,"1,000 to 4,999 employees",40.0,"Industry that I’d be working in;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",2-5y,1.0
107,Woman,29.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, full-stack",5,5.0,Employed full-time,148000.0,Very dissatisfied,I am actively looking for a job,Once a year,100 to 499 employees,45.0,Flex time or a flexible schedule;How widely used or impactful my work output would be;Opportunities for professional development,2-5y,0.0
109,Man,,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Not stated,6,,Student,,Not stated,I am actively looking for a job,Every few months,Not stated,,Diversity of the company or organization;How widely used or impactful my work output would be;Office environment or company culture,,
110,Man,45.0,United States,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Developer, mobile;Developer, QA or test;DevOps specialist",30,21.0,Employed full-time,130000.0,Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,"5,000 to 9,999 employees",,Diversity of the company or organization;Financial performance or funding status of the company or organization;Opportunities for professional development,20y+,2.0
111,Woman,25.0,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Not stated,6,,Student,,Not stated,"I’m not actively looking, but I am open to new opportunities",Once a year,Not stated,,"Diversity of the company or organization;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",,
112,Man,28.0,United States,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Academic researcher;Data or business analyst;Database administrator;Engineer, data",11,3.0,Employed full-time,65000.0,Slightly satisfied,I am actively looking for a job,Every few months,"10,000 or more employees",40.0,Specific department or team I’d be working on;How widely used or impactful my work output would be;Office environment or company culture,2-5y,3.0
113,Man,50.0,United States,"Other doctoral degree (Ph.D., Ed.D., etc.)","Developer, desktop or enterprise applications",35,20.0,Employed full-time,,Slightly satisfied,I am not interested in new job opportunities,Once every few years,"10,000 or more employees",55.0,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Financial performance or funding status of the company or organization",10-20y,3.0
114,Man,,Canada,"Associate degree (A.A., A.S., etc.)","Developer, full-stack",33,20.0,"Independent contractor, freelancer, or self-employed",,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once every few years,"Just me - I am a freelancer, sole proprietor, etc.",30.0,Not stated,10-20y,3.0
115,Man,23.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, desktop or enterprise applications;Engineer, data",9,2.0,Employed full-time,78800.0,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,"5,000 to 9,999 employees",39.0,"Languages, frameworks, and other technologies I’d be working with;Financial performance or funding status of the company or organization;How widely used or impactful my work output would be",0-2y,4.0
116,Man,38.0,Spain,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",25,12.0,Employed full-time,,Slightly satisfied,I am not interested in new job opportunities,Every few months,"1,000 to 4,999 employees",40.0,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",10-20y,3.0
117,Man,30.0,United Kingdom,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Database administrator;Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile",19,8.0,Employed full-time,116333.0,Slightly dissatisfied,I am not interested in new job opportunities,Once a year,20 to 99 employees,50.0,Flex time or a flexible schedule;Remote work options;Family friendliness,5-10y,1.0
118,Man,20.0,China,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Not stated,9,,Student,,Not stated,I am not interested in new job opportunities,Every few months,Not stated,,Financial performance or funding status of the company or organization;Office environment or company culture;Family friendliness,,
119,Man,35.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile;Developer, QA or test;DevOps specialist;Engineer, site reliability;System administrator",16,16.0,Employed full-time,145000.0,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Once every few years,2 to 9 employees,50.0,Flex time or a flexible schedule;How widely used or impactful my work output would be;Opportunities for professional development,10-20y,4.0
120,Man,24.0,Germany,"Associate degree (A.A., A.S., etc.)","Developer, back-end",10,6.0,Employed full-time,61616.0,Very dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,100 to 499 employees,40.0,"Industry that I’d be working in;Languages, frameworks, and other technologies I’d be working with;Remote work options",5-10y,0.0
121,Man,26.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, desktop or enterprise applications",8,5.0,Employed full-time,145000.0,Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,500 to 999 employees,25.0,"Languages, frameworks, and other technologies I’d be working with;Remote work options;Office environment or company culture",2-5y,2.0
122,Man,23.0,United Kingdom,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile",10,5.0,Employed full-time,109871.0,Very satisfied,I am not interested in new job opportunities,Every few months,20 to 99 employees,40.0,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development",2-5y,4.0
123,Man,26.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, full-stack",8,3.0,Employed full-time,2000000.0,Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,"10,000 or more employees",36.0,"Languages, frameworks, and other technologies I’d be working with;Remote work options;Office environment or company culture",2-5y,2.0
124,Man,38.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Designer;Developer, mobile",24,19.0,"Independent contractor, freelancer, or self-employed",0.0,Very satisfied,I am not interested in new job opportunities,Once every few years,"Just me - I am a freelancer, sole proprietor, etc.",60.0,Not stated,10-20y,4.0
125,Man,41.0,United States,"Other doctoral degree (Ph.D., Ed.D., etc.)",Data scientist or machine learning specialist;Scientist,11,11.0,Employed full-time,2000000.0,Very satisfied,I am not interested in new job opportunities,Once every few years,"5,000 to 9,999 employees",40.0,Flex time or a flexible schedule;Family friendliness,10-20y,4.0
126,Man,35.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, front-end;Developer, full-stack",9,4.0,Employed full-time,145000.0,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,100 to 499 employees,45.0,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development",2-5y,4.0
127,Woman,64.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Not stated,50,,Retired,,Not stated,Not stated,Once every few years,Not stated,,Not stated,,
